CITY/COUNTY,STATE,UNIT TYPE,COUNTY,CENSUS REGION,MSA URBANITY,TOTAL POPULATION,QUARTPOP, MEDIAN HH INCOME , INCOME GROUP ,POVERTY RATE,QUARTPOVERTY,MEDIAN AGE,% OF POP. 65 & OVER,QUART % 65 & OVER, DISABLED POPULATION ,% OF TOTAL POP. DISABLED,QUART%DISABLED,USE,AUDITED,AUDIT QUALITY SCORE,RETREIVAL METHOD,YEAR OF MOST RECENT PLAN,RETREIVAL  YEAR,URL ,ADA CONTACT,FILE NAME,FILE LOCATION
Carson City,NV,Municipality,NYE,West,MICROPOLITAN,"54,773",2," $55,718 ", MIDDLE ,11.3%,2,42.4,19.8%,4," 11,317 ",21.5%,4,National,Yes,,Public,2015,2018,http://carson.org/home/showdocument?id=44923,Cecilia Meyer- (775) 887-2133,CarsonCity_NV_TP,https://uofi.box.com/s/shjs9n56s6b97sginsyjdj2t3igssld1
Cass,MN,County,CASS,Midwest,MICROPOLITAN,"29,268",2," $52,204 ", MIDDLE ,13.6%,3,48.9,25.3%,4," 4,281 ",14.8%,4,National,Yes,,Public,2018,2018,http://www.co.cass.mn.us/search.php?q=ada+,Joshua Howe- josh.howe@co.cass.mn.us,Cass County_MN_TP_2018,https://uofi.box.com/s/l46oxdms02ue11ov6f3o0my4hf2123ct
Charlottesville,VA,Municipality,ALBEMARLE,South,SMALL METRO,"47,096",2," $59,471 ", MIDDLE ,24.1%,4,31.6,11.3%,1," 4,113 ",8.8%,1,National,Yes,,Public,2013,2018,http://www.charlottesville.org/about-charlottesville/new-advanced-components/document-folder/-folder-605,Allyson Finchum- 434-970-3185,Charlotsville_ADATransitionPlanCorrected,https://uofi.box.com/s/crh1w00iku3e8hx5xbyq8fbx22r10qqz
Clayton,MO,Municipality,ST. LOUIS,Midwest,LARGE FRINGE METRO,"16,588",1," $107,596 ", MIDDLE ,8.30%,2,30,14.1%,2, 863 ,5.6%,1,National,Yes,,Public,2013,2017,https://www.claytonmo.gov/government/public-works/ada-transition-plan,Matt Malick- mmalick@claytonmo.gov,Clayton_MO_TP,https://uofi.box.com/s/x3h32yir5o237631ohd0audlmoe6hz1y
Columbia ,STATE,Municipality,BOONE,Midwest,SMALL METRO,"121,230",3," $51,276 ", MIDDLE ,21.8%,4,28.5,10.6%,1," 12,179 ",10.1%,2,Other,Yes,,Direct Contact,2018,2020,https://www.como.gov/ada/#_4,"Adam Kruse: disabilityservices@como.gov, (573) 817-5024",Columbia MO_ ADA-Sidewalk-Transition-Plan.Final,https://uofi.box.com/s/j3gblkn6w272nsci1yp7azwpq6ap2fh3
Crystal Lake,IL,Municipality,MCHENRY,Midwest,LARGE FRINGE METRO,"39,974",2," $87,578 ", MIDDLE ,6.9%,1,39.6,13.5%,2," 4,092 ",10.3%,2,Chicago,Yes,,Public,2018,2020,https://www.crystallake.org/home/showpublisheddocument/17536/636881488121270000,"Nick Hammonds
(815) 459-2020",43 Crystal Lake ADATransitionPlan,https://uofi.box.com/s/7df90hpc8cdjyzx4f9kyfhsaqjg1e7wi
Daphne,AL,Municipality,BALDWIN,South,SMALL METRO,"25,901",2," $71,882 ", MIDDLE ,12.7%,2,37.9,16.6%,3," 2,656 ",10.4%,2,National,Yes,,Public,2016,2018,http://www.daphneal.com/DocumentCenter/View/182/Americans-with-Disabilities-Act-ADA-Transition-Plan?bidId=,ADA Coordinator: weringman@daphneal.com,City-of-Daphne-ADA-Transitionplan,https://uofi.box.com/s/qv4365fettqywtl42b5u6zgq2nwbx0ae
Davis,CA,Municipality,YOLO,West,LARGE FRINGE METRO,"68,543",2," $69,379 ", MIDDLE ,29.8%,4,25.5,11.3%,1," 4,863 ",7.1%,1,National,Yes,,Public,2010,2018,http://cityofdavis.org/home/showdocument?id=2512,ADA Coordinator: compliance@ucdavis.edu,Davis CA TP,https://uofi.box.com/s/zhkya6ujgpuzytc1anl8tmxz8z73tzl7
Dekalb,IL,County,DEKALB,Midwest,MICROPOLITAN,"42,927",2," $56,421 ", MIDDLE ,11.3%,2,39.1,15.8%,3," 5,767 ",13.5%,3,National,Yes,,Public,2016,2018,https://www.co.dekalb.in.us/topic/index.php?topicid=13,Dotty Miller- dmiller@co.dekalb.in.us,DeKalb County TP update 8-30-16,https://uofi.box.com/s/yzizaqqjy8z6doziu7hsgysygkxxumm1
Des Plaines,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"58,673",2," $69,790 ", MIDDLE ,8.5%,2,43.3,19.1%,4," 6,707 ",11.6%,3,Chicago,Yes,,Public,2019,2020,https://www.desplaines.org/civicax/filebank/blobdload.aspx?t=51051.84&BlobID=27071,hr@desplaines.org,Des Plaines PROW Accessibility Transition Plan w appdx - Adopted 12.2.19,https://uofi.box.com/s/sqo1s8kvf6zb2kfn1zt772jqominwb8b
Downers Grove,IL,Municipality,DUPAGE,Midwest,LARGE FRINGE METRO,"49,470",2," $94,893 ", MIDDLE ,5.0%,1,42.7,18.7%,4," 4,205 ",8.5%,1,Chicago,Yes,,Public,2017,2020,http://www.downers.us/govt/village-managers-office/americans-with-disabilities-act-ada,Megan Miles: mmiles@downers.US,DownersGrove-ADATransitionplan.pdf,https://uofi.box.com/s/wwzhedyp9xx2kuuwuqeb5rjb7ledv5l6
Dupage,IL,County,DUPAGE,Midwest,LARGE FRINGE METRO,"922,921",4," $96,403 ",MIDDLE,5.9%,1,39.8,15.0%,2," 73,217 ",8.0%,1,Other,Yes,,Public,2020,2021,"https://www.dupageco.org/DOT/Docs/61704/#:~:text=The%20ADA%20Transition%20Plan%20works,our%20County%20trails%20and%20walkways.","ADADOT@dupageco.org , DOT@dupageco.org",DuPageADA Transition Plan,https://uofi.box.com/s/q0m97bqeiew41h38lq0olfu08m5tqw2q
Eugene,OR,Municipality,LANE,West,MEDIUM METRO,"168,302",4," $50,962 ", MIDDLE ,20.4%,4,30.7,16.0%,3," 23,466 ",14.0%,3,Pilot,Yes,,Public,2015,2017,https://www.eugene-or.gov/2416/ADA-Transition-Plan,Public Works Engineering: PWEngineering@ci.eugene.or.us,Eugune_OR_TP_downloaded_01June2017,https://uofi.box.com/s/qg599gh02y73qwuux1e42es8nmwwrt3x
Evanston,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"74,587",2," $78,904 ", MIDDLE ,13.3%,3,36.1,15.6%,3," 2,645 ",8.2%,1,Chicago,Yes,,Public,2012,2020,https://www.cityofevanston.org/home/showdocument?id=47103,Ray Dorner: 847-448-4311,Evanston ADA Plan 2012,https://uofi.box.com/s/yzeo8ye41z19z85oya0jcxswqp2jwngw
Fairborn,OH,Municipality,GREENE,Midwest,MEDIUM METRO,"33,462",2," $47,440 ", MIDDLE ,20.3%,4,32.9,14.4%,2," 5,102 ",15.6%,4,National,Yes,,Public,2018,2018,https://www.fairbornoh.gov/government/human_resources/index.php,Robin McClure: robin.mcclure@fairbornoh.gov,Fairborn_OH_TP_incomplete 2018,https://uofi.box.com/s/bvgrzaipao0aquhlwpvcj55w2ng0pzbt
Federal Way,WA,Municipality,KING,West,LARGE CENTRAL METRO,"96,526",3," $67,347 ", MIDDLE ,12.1%,3,35.8,13.1%,2," 10,902 ",11.4%,3,Other,Yes,,Public,2019,2019,https://www.cityoffederalway.com/sites/default/files/Final%20ADA%20Transition%20Plan%20CFW%20-%20FINAL%20-%20Adopted%205-21-19.pdf,Human Resources : 253-835-2531,FINAL Draft ADA Transition Plan,https://uofi.box.com/s/z14wyvaqejkltfnfijz8v4ofnn3k5500
Fitzgerald,GA,Municipality,BEN HILL,South,MICROPOLITAN,"8,812",1," $24,885 ", LOW ,35.7%,4,35.3,14.7%,2," 1,377 ",16.3%,4,National,Yes,,Direct Contact,2013,2018,https://www.fitzgeraldga.org/government.html,Cam Jordan: (229) 426-5063,ADA Transition Plan (1),https://uofi.box.com/s/7vc5sqqjoot0r023qcgh9qzluy527dcr
Fort Wayne,IN,Municipality,ALLEN,Midwest,MEDIUM METRO,"265,752",4," $49,411 ", MIDDLE ,16.0%,3,35,14.0%,2," 35,812 ",13.6%,3,Pilot,Yes,,Public,2013,2017,https://www.cityoffortwayne.org/ada-title-vi-compliance.html,Krista Maxwell: Krista.Maxwell@cityoffortwayne.org,FORT_WAYNE_IN_25May2017,https://uofi.box.com/s/wbaxxxjhj5euej3j8k057qwuyx4c4q1z
Franklin,IN,County,FRANKLIN,Midwest,NONCORE,"22,774",2," $62,462 ", MIDDLE ,9.1%,2,42.2,17.5%,4," 2,931 ",12.9%,3,National,Yes,,Public,2016,2018,http://www.franklincounty.in.gov/wp-content/uploads/Franklin-County-ADA-Transition-Plan-2019-FINAL.pdf,Gerald Wendel: 765-647-4985,ADA Transition Plan to Update,https://uofi.box.com/s/7nv0na1rdkdwkwr5xpsj6gus4woockbu
Gallatin,TN,Municipality,SUMNER,South,LARGE FRINGE METRO,"38,156",2," $59,745 ", MIDDLE ,11.7%,2,39.1,16.9%,3," 5,520 ",14.9%,4,Other,Yes,,Public,2018,2019,https://www.gallatintn.gov/244/Americans-with-Disabilities-Act,ADA Coordinator: jami.hannah@gallatintn.gov,2018ADATransitionPlan,https://uofi.box.com/s/qswnbj6ukgi36xgfi39grup6jug1llxh
Glendale Heights,IL,Municipality,DUPAGE,Midwest,LARGE FRINGE METRO,"34,079",2," $68,495 ", MIDDLE ,8.5%,2,33.6,11.3%,1," 2,336 ",6.9%,1,Chicago,Yes,,Direct Contact,2019,2020,https://www.glendaleheights.org/,Michael S. Marron: 630.260.6000,(67)GlendaleHeights,https://uofi.box.com/s/u365erdr15csmqndurq9zx9m2k88fboo
Greencastle ,IN,Municipality,PUTNAM,Midwest,MICROPOLITAN,"10,296",1," $47,471 ", MIDDLE ,11.0%,2,26.7,13.1%,2," 1,303 ",13.1%,3,National,Yes,,Public,2012,2017,http://cityofgreencastle.com/ada-plan/,Laurie Hardwick: 765-653-3100,Greencastle_IN_With_enhancedtext,https://uofi.box.com/s/38n65qg1ijeam1lf4fzmyf4lxpc3kurm
Hanover Park,IL,Municipality,"COOK, DUPAGE",Midwest,LARGE CENTRAL METRO,"37,984",2," $76,615 ", MIDDLE ,10.7%,2,33.8,10.2%,1," 3,284 ",8.7%,1,Chicago,Yes,,Public,2017,2020,https://www.hpil.org/DocumentCenter/View/88/ADA-Transition-Plan-PDF?bidId=,Public Works Admin: 630-823-5700,Village of Hanover Park ADA Transition Plan,https://uofi.box.com/s/bng8o6jv70reg1cru00qckqs0zjprfv0
Hawaii Gardens,CA,Municipality,LOS ANGELES,West,LARGE CENTRAL METRO,"14,337",1," $49,483 ", MIDDLE ,23.9%,4,32.4,10.4%,1," 1,196 ",8.3%,1,National,Yes,,Public,1993,2018,https://www.hgcity.org/home,City Clerk’s Department: (562) 420-2641,Hawaiian Gardens_CA Facilities self-eval,https://uofi.box.com/s/4mobov5xjhybbxdzy0k08dqryxblci8q
Honolulu,HI,County,HONOLULU,West,MEDIUM METRO,"984,821",4," $85,857 ", MIDDLE ,8.3%,2,37.9,17.3%,4," 102,265 ",10.9%,2,Other,Yes,,Public,1999,2019,http://www.honolulu.gov/rep/site/ddc/Final_Transition_Plan.pdf,Mona Higa: mona.higa@honolulu.gov,Honolulu_Transition_Plan,https://uofi.box.com/s/ecuy4syu9yadb0163citduv0r9zn6ykq
Huntley,IL,Municipality,"MCHENRY, KANE",Midwest,LARGE FRINGE METRO,"26,966",2," $75,100 ", MIDDLE ,5.2%,1,49,33.3%,4," 3,748 ",13.9%,3,Chicago,Yes,,Public,2015,2020,https://www.huntley.il.us/departments/public_works_and_engineering/ada_transition_plan.php,Chrissy Hoover: choover@huntley.il.us ,85Huntley_ADA Transition Plan,https://uofi.box.com/s/8r0hbl43jfrx0c9lqcwm1wfajj5v9hme
Idaho Falls,ID,Municipality,BONNEVILLE,West,SMALL METRO,"61,459",2," $53,148 ", MIDDLE ,13.4%,3,33.4,13.7%,2," 9,977 ",16.5%,4,National,Yes,,Public,2012,2018,https://www.idahofallsidaho.gov/DocumentCenter/Home/View/3848 ,Lisa Farris: LFarris@idahofallsidaho.gov,Idaho Falls_ID_TP,https://uofi.box.com/s/3ugzyslh3et0eb5e338c2wrvyuaxzpce
Jackson,MS,Municipality,HINDS,South,SMALL METRO,"166,383",4," $38,888 ", LOW ,25.4%,4,33,12.4%,1," 20,246 ",12.3%,3,Other,Yes,,Direct Contact,2015,2018,https://www.jacksonms.gov/,ADA Compliance Coordinator: hhumphrey@jacksonms.gov,Jackson_TP,https://uofi.box.com/s/2k6bcemo3wcftua56bn3eyap4u5fbcwr
Jacksonville,NC,Municipality,ONSLOW,South,SMALL METRO,"73,025",2," $44,956 ", MIDDLE ,13.0%,3,23.1,6.2%,1," 7,878 ",16.7%,4,Other,Yes,,Public,2019,2019,https://www.jacksonvillenc.gov/DocumentCenter/View/5630/Adopted-ADA-Transition-Plan-as-of-March-2019?bidId=,Carmen Miracle: cmiracle@jacksonvillenc.gov,Jacksonville NC ADA Transition Plan 3-14-19 Adopted_201904051457238246,https://uofi.box.com/s/jpuc4e7scywiawftl1uerrg1ptrvga8s
Kettering,OH,Municipality,GREENE,Midwest,MEDIUM METRO,"55,390",2," $58,970 ", MIDDLE ,10.9%,2,39.3,18.4%,4," 7,494 ",13.6%,3,National,Yes,,Public,2018,2018,https://www.ketteringoh.org/americans-with-disabilities-act/,Sara Mills Klein: Sara.Mills@ketteringoh.org`,Kettering_OH_TP main,https://uofi.box.com/s/kgbl9on3b9kkzug45aumrs0i27ldad56
Kootenai,ID,County,KOOTENAI,West,SMALL METRO,"157,322",3," $57,242 ", MIDDLE ,11.7%,2,40.2,18.5%,4," 21,273 ",13.6%,3,National,Yes,,Public,2017,2018,https://www.kcgov.us/DocumentCenter/View/4628/Kootenai-County-DRAFT-ADA-Transition-Policy-PDF?bidId=,Sylvia Proud ,Kootenai County_ID_TP,https://uofi.box.com/s/5s0b7pyihrcbvvwelhns8fovm5swl724
Lacey,WA,Municipality,THURSTON,West,MEDIUM METRO,"49,248",2," $67,687 ", MIDDLE ,10.1%,2,35.2,16.5%,3," 6,338 ",13.4%,3,National,Yes,,Public,2012,2018,http://www.ci.lacey.wa.us/Portals/0/docs/Public_Works/Final%202030%20Lacey%20Transportation_web.pdf,,Final 2030 Lacey Transportation_web,https://uofi.box.com/s/bz9bctszkusk18ez1rgtwekv1vb9chbv
Lakeforest,CA,Municipality,ORANGE,West,LARGE CENTRAL METRO,"83,974",3," $109,492 ", MIDDLE ,6.9%,1,39.6,13.6%,2," 5,769 ",6.9%,1,National,Yes,,Public,1995,2018,https://lakeforestca.gov/,Shelly Cisneros: scisneros@lakeforestca.gov,Lake Forest TP,https://uofi.box.com/s/4irwx3xxiv02zpzcvc789nowryc3aasx
Leon,FL,County,LEON,South,MEDIUM METRO,"289,770",4," $53,106 ", MIDDLE ,20.5%,4,31,12.9%,1," 32,209 ",11.2%,3,National,Yes,,Public,2002,2018,https://cms.leoncountyfl.gov/portals/0/county_admin/docs/Transition_Plan_Physical%20Facilities.pdf,NA,Leon County_FL_TP,https://uofi.box.com/s/vc7fcct31njut4dyq08plczlyh71u11x
Louisville,KY,Municipality,JEFFERSON,South,LARGE CENTRAL METRO,"615,924",4," $53,436 ", MIDDLE ,15.9%,3,37.6,14.9%,2," 58,326 ",9.0%,1,Other,Yes,,Public,2015,2018,http://louisville.edu/cepm/project-areas-1/brownfields-and-safe-soil/germantown/ada-transistion-plan-2012,Dirk L. Gowin: (502) 574-5925,"Louisville - ada_transitionplan_lmpw
",https://uofi.box.com/s/2vl107qvgjqvp63gptenocwxyegf1brm
Mobile,AL,County,MOBILE,South,MEDIUM METRO,"414,114",4," $47,583 ", MIDDLE ,18.8%,4,37.9,15.8%,3," 57,776 ",14.1%,4,National,Yes,,Public,2016,2019,https://www.mobilecountyal.gov/pdf/ada%20draft.pdf,Martha E. Durant: mdurant@mobile-county.net,Mobile_County_ AL Final TP 1 OF 2; Mobile_County_ AL Final TP 2 OF 2,https://uofi.box.com/s/53pcj6ds1b5bmvrkhw6za30s6tgu3joo; https://uofi.box.com/s/p5fat8g9skhk2nmxkyokru0mooan7we8
Mohave,AZ,County,MOHAVE,West,SMALL METRO,"207,695",4," $45,587 ", MIDDLE ,16.4%,4,51.60,29.6%,4," 46,198 ",22.6%,4,National,Yes,,Direct Contact,2018,2018,https://www.mohavecounty.us/,StevenP. Latoski: (928) 757-0910,Mohave_AZ_TP,https://uofi.box.com/s/e6pumv9bwsz5yv3nnklbpuqoo3ne95qz
Monticello,IN,Municipality,WHITE,Midwest,NONCORE,"5,262",1," $43,182 ", MIDDLE ,10.9%,2,34.6,21.0%,4, 932 ,18.7%,4,Other,Yes,,Public,2016,2019,https://www.monticelloin.gov/document-library/american-disabilities-act-ada-office/14-transition-plan-adoption-may-2013/file,Cathy Gross: adacoordinator@monticelloin.gov,Monticello IN Transition Plan.update.6.30.16,https://uofi.app.box.com/file/532925879845
Mount Vernon,IL,Municipality,SKAGIT,West,SMALL METRO,"35,026",2," $62,056 ", MIDDLE ,14.6%,3,35.3,17.2%,4," 4,628 ",13.4%,3,National,Yes,,Direct Contact,2018,2018,https://www.mountvernon.org/,,DRAFT Mount Vernon-ADA Transition Plan - Revised 5-16-2018,https://uofi.box.com/s/gge8ymaxahblfkevbftz5ngfssrm3zx6
Mountain Home ,AR,Municipality,BAXTER,South,MICROPOLITAN,"12,393",1," $40,408 ", LOW ,10.2%,2,46.9,28.8%,4," 2,378 ",19.6%,4,National,Yes,,Direct Contact,2005,2018,https://www.arkansas.com/mountain-home,NA,Mountain Home_AK,https://uofi.box.com/s/fnzsn3kgudxcm92naj9sqozdu6hevt4w
Murray,MN,County,MURRAY,Midwest,NONCORE,"8,296",1," $60,231 ", MIDDLE ,7.1%,2,48.1,25.3%,4," 1,106 ",13.5%,3,National,Yes,,Public,2017,2018,http://murraycountymn.com/adaplans/,,Murray County_MN_TP,https://uofi.box.com/s/me00ghrqn1bn24gvcuf9w1rszvxzcece
Naperville,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"147,501",3," $125,926 ", UPPER ,4.3%,1,39.1,12.2%,1," 9,192 ",6.3%,1,Chicago,Yes,,Public,2018,2020,https://www.naperville.il.us/search/?q=ADA+Transition+plan+,Beth Lang: langb@naperville.il.us,Naperville- adatransitionplan,https://uofi.box.com/s/6b6yxe6qwv6wo16xr8hju1a7ve229cv9
Newark,NJ,Municipality,ESSEX,Northeast,LARGE CENTRAL METRO," 281,999 ", 4 ," $40,235 ", LOW ,25.2%,4,34.6,10.5%,1," 50,995 ",18.6%,4,Other,Yes,,Public,2007,2021,https://www.newarkde.gov/DocumentCenter/View/1641/ADA-Transition-Plan-for-Sidewalk-Curb-and-Ramps?bidId=,Charles Zusag (973) 733-6400,Newark_ADA Transition Plan for Sidewalk Curb and Ramps,https://uofi.box.com/s/v05bn0vbh12nsk8vrle54tpboqgjydqn
Niles,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"29,451",2," $64,772 ", MIDDLE ,9.2%,2,48.4,25.1%,4," 4,042 ",14.3%,4,Chicago,Yes,,Direct Contact,2017,2020,https://www.vniles.com/,Fred Braun : 847-588-7900/fwb@vniles.com ,DRAFT ADA-Village of Niles_v2,https://uofi.box.com/s/c0ocwqnoswzrcghisk1embqbw4z2u5qb
Noble,IN,County,NOBLE,Midwest,MICROPOLITAN,"47,506",2," $56,789 ", MIDDLE ,7.4%,2,38.7,15.2%,3," 6,268 ",13.4%,3,National,Yes,,Public,2017,2017,http://nobleco.squarespace.com/ada-procedure,Zachary Smith: (260)636-2124,ADA_Transition_Plan_Noble_County,https://uofi.box.com/s/zy2zjwpk6nl1tu9s1l0u3z5lvru3dlx5
North Aurora,IL,Municipality,KANE,Midwest,LARGE FRINGE METRO,"17,752",2," $86,537 ", MIDDLE ,4.2%,1,41.1,13.6%,2," 1,737 ",9.8%,2,Chicago,Yes,,Direct Contact,2018,2020,https://northaurora.org/,,North Aurora TP Draft,https://uofi.box.com/s/odi5sfyhnfeppk55fvzaifw0ro6wo91t
North Chicago,IL,Municipality,LAKE,Midwest,LARGE FRINGE METRO,"29,971",2," $43,094 ", MIDDLE ,21.2%,4,24.1,5.7%,1," 2,670 ",13.7%,3,Chicago,Yes,,Direct Contact,2011,2020,https://www.northchicago.org/,Steve Cieslica: 847-596-8650,CITY OF NORTH CHICAGO - TRANSITION PLAN,https://uofi.box.com/s/33lxvnm093ozlzbqswjluaq2rhypmfc0
Oak Park,IL,Municipality,COOK,Midwest,LARGE CENTRAL METRO,"52,233",2," $94,646 ", MIDDLE ,7.7%,2,39.8,14.7%,2," 5,024 ",9.7%,2,Chicago,Yes,,Direct Contact,2019,2020,https://www.oak-park.us/your-government/citizen-commissions/disability-access/information-persons-disabilities-and-their,ADAcoordinator@oak-park.us,"2019 OAK PARK ADA Title II Self-Evaluation Transition Plan
",https://uofi.box.com/s/3b2kl4yfwxtc59p9ksi1opbcyq39lv84
Oakland,CA,Municipality,ALAMEDA,West,LARGE CENTRAL METRO,"425,097",4," $73,692 ", MIDDLE ,16.7%,4,36.5,13.1%,2," 49,362 ",11.7%,3,National,Yes,,Public,2015,2017,http://www2.oaklandnet.com/government/o/PWA/o/EC/s/ADA/DOWD005072,Frank H. Ogawa: (510) 238-5219,Oakland CA_TP; Oakland CA TP 2015 update,https://uofi.box.com/s/wfnjv8q8awp7jllglkml5g9ucxlx9s9m; https://uofi.box.com/s/vjv9fp2xrp6qtwgj58t4wgbg28hwh2ke
